rank,department_name,domain,common_aliases,qs_subject_rank_category,typical_degree_levels,global_demand_notes,estimated_coverage_pct
16,Finance,Business,Banking & Finance; Quantitative Finance; Accounting & Finance; Department of Finance; Finance Department; Finance Area,Accounting and Finance,BS; MS; MBA; PhD,"Wall Street, fintech, and quant hiring keep finance as the highest-paying business specialization globally.",85
17,Public Health,Life Sciences & Medicine,MPH; Population Health; Global Health; School of Public Health; Department of Public Health; Faculty of Public Health; Public Health Sciences; School of Public Health & Tropical Medicine,Anatomy and Physiology,MPH; MS; PhD; DrPH,"Post-pandemic governments and NGOs scaled up epidemiology, health-policy, and biostatistics hiring; persistent global health-worker gap.",70
18,Materials Science & Engineering,STEM,Materials Engineering; Materials Science & Metallurgy; Department of Materials; Department of Materials Science; School of Materials; Materials Science & Metallurgy Department,Materials Sciences,BS; MS; PhD,"Critical to batteries, semiconductors, advanced manufacturing, and clean energy; central to U.S./EU/China industrial strategy.",78
19,Architecture,Arts,Built Environment; Architecture & Planning; Architectural Studies; School of Architecture; Department of Architecture; Faculty of Architecture; Architecture School; College of Architecture,Architecture and Built Environment,BArch; MArch; MS; PhD,Urbanization and sustainable-design demand keep architecture among the most prestigious applied-arts professions.,72
20,Political Science,Social Sciences,Politics; Government; Politics & International Relations; International Studies; Department of Political Science; School of Politics; Political Studies; Faculty of Politics; Government Department,Politics,BA/BS; MA/MS; PhD,"Core feeder into public policy, diplomacy, consulting, and political risk; near-universal at comprehensive universities.",90
21,Sociology,Social Sciences,Social Sciences; Sociology & Social Policy; Department of Sociology; School of Sociology; Sociology Department; Department of Sociology and Anthropology,Sociology,BA/BS; MA/MS; PhD,"Strong pipeline into HR, market research, social policy, and DEI roles; near-universal in arts & sciences faculties.",88
22,Earth & Environmental Sciences,STEM,Earth Sciences; Geosciences; Environmental Science; Earth & Planetary Sciences; Environmental Systems Science; Department of Earth Sciences; School of Earth and Environment; Geography and Environment; Environmental Sciences; School of Geography,Earth and Marine Sciences,BS; MS; PhD,"Climate-tech, ESG, and energy-transition hiring growth; central to net-zero corporate and government strategy.",82
23,Communication & Media Studies,Social Sciences,Communication; Media Studies; Journalism; Communication Arts; Department of Communication; School of Communication; Mass Communication; Media and Communication; School of Journalism,Communication and Media Studies,BA/BS; MA/MS; PhD,"Digital marketing, content, PR, and platform-policy roles among the largest expanding white-collar segments globally.",80
24,Education,Social Sciences,Educational Studies; School of Education; Faculty of Education; Teaching; Graduate School of Education; Department of Education; College of Education,Education and Training,BA/BEd; MA/MEd; EdD; PhD,Persistent global teacher shortage; ed-tech and instructional design fast-growing adjacent fields.,83
25,Accounting,Business,Accountancy; Accounting & Finance; CPA Programs; Department of Accounting; School of Accounting; Accounting Department,Accounting and Finance,BS; MS; MBA; PhD,"Audit, advisory, and corporate-finance hiring stays among the most stable and globally licensed business pathways.",78
26,History,Humanities,Historical Studies; Faculty of History; History & Philosophy of Science; Department of History; School of History; History Department; History Faculty,History,BA; MA; PhD,"Foundational humanities discipline at every comprehensive university; feeder into law, policy, journalism, and academia.",95
27,Philosophy,Humanities,Philosophical Studies; Faculty of Philosophy; PPE; Department of Philosophy; School of Philosophy; Philosophy Department,Philosophy,BA; MA; PhD,Highest-scoring humanities major on standardized tests (LSAT/GMAT); ethics demand rising for AI and biotech governance.,90
28,English Language & Literature,Humanities,English; Comparative Literature; Literary Studies; Department of English; School of English; English Department; Faculty of English; English Language and Literature,English Language and Literature,BA; MA; PhD,"Largest humanities department at most universities; pipeline into publishing, content, communications, and law.",92
29,Linguistics,Humanities,Modern Languages; Theoretical & Applied Linguistics; Department of Linguistics; School of Languages; Linguistics and Applied Linguistics; Language Sciences,Linguistics,BA/BS; MA/MS; PhD,"Resurgent demand from NLP, speech AI, and machine translation; strong cognitive-science adjacency.",75
30,Art & Design,Arts,Fine Arts; Design; Art & Art History; Visual Studies; Performing Arts; School of Art; Fine Arts Department; Department of Art; School of Design; Art School; Fine Arts Faculty,Art and Design,BA/BFA; MA/MFA; PhD,"Creative industries (UX, product design, gaming, advertising) drive sustained demand; most comprehensive universities offer it.",65
